area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,31-9091,3710,17.37,13.83,14.89,21.6,22.88
1,Alabama,31-9092,12490,15.29,12.17,13.86,17.37,18.84
1,Alabama,31-9093,800,15.22,12.02,14,17.47,19.81
1,Alabama,31-9094,420,17.07,10.88,14.44,20.24,23.44
1,Alabama,31-9095,400,14.2,11.01,12.66,17.43,18.42
1,Alabama,31-9096,1550,13.55,9.7,10.39,14.47,16.68
1,Alabama,31-9097,2640,15.72,12.19,13.58,18.36,20.04
1,Alabama,31-9099,470,19.22,13.07,14.09,25.16,28.1
1,Alabama,33-0000,48500,17.46,10.55,13.17,24.4,30.96
1,Alabama,33-1011,410,31.56,21.44,27.81,36.06,40.32
1,Alabama,33-1012,1180,36.2,20.43,27.48,44.27,53.52
1,Alabama,33-1021,960,31.72,13.22,21.91,39.09,49.11
1,Alabama,33-1091,690,17.04,12.95,13.71,26.96,35.36
1,Alabama,33-1099,160,28.24,17.12,17.38,32.44,38.53
1,Alabama,33-2011,6400,18.73,11.23,14.41,24.51,30.98
1,Alabama,33-2021,540,23.16,16.63,19.34,29.88,29.88
1,Alabama,33-2022,40,16.63,13.63,14.32,18.79,20.24
1,Alabama,33-3011,90,15.82,10.95,14.44,18.33,20.73
1,Alabama,33-3012,5310,18.2,12.04,15.43,24.6,28.5
1,Alabama,33-3021,1110,30.01,19.31,23.06,42.18,66.62
1,Alabama,33-3031,150,29.2,18.33,21.25,31.42,35.59
1,Alabama,33-3041,40,17.69,12.61,12.61,19,25.12
1,Alabama,33-3051,12570,22.7,15.22,18.35,28.5,32.05
1,Alabama,33-9011,240,16.08,10.94,13.57,19,23.43
1,Alabama,33-9021,290,22.28,16.04,17.13,28.99,32.37
1,Alabama,33-9031,70,18.23,14.53,17.39,20.71,21.6
1,Alabama,33-9032,14530,12.5,8.7,10.66,14.35,18.81
1,Alabama,33-9091,430,12.79,8.69,9.65,14.7,20.15
1,Alabama,33-9092,790,9.74,8.59,8.99,10.42,14.21
1,Alabama,33-9093,250,22.2,19.33,19.86,24.27,27.04
1,Alabama,35-0000,166380,10.82,8.73,9.79,13.62,17.18
1,Alabama,35-1011,510,26.8,20.25,21.94,33.17,38.5
1,Alabama,35-1012,20530,16.44,11.52,13.49,19.78,23.88
1,Alabama,35-2011,19480,10.94,9.12,10.42,13,13.82
1,Alabama,35-2012,7910,11.38,8.75,9.96,13.99,16.64
1,Alabama,35-2014,16290,13.83,9.97,11.06,16.47,18.04
1,Alabama,35-2015,1400,10.82,9.81,10.61,13.73,15.62
1,Alabama,35-2019,**,12.77,12.29,12.29,13.91,17.8
1,Alabama,35-2021,16390,10.82,8.8,9.72,12.89,16.12
1,Alabama,35-3011,3790,9.38,8.25,8.58,10.47,20.45
1,Alabama,35-3023,38640,10.42,8.87,9.93,11.17,13.17
1,Alabama,35-3031,28440,9.57,8.31,8.64,10.58,16.05
1,Alabama,35-3041,2370,11.7,9.38,10.34,13.36,14.69
1,Alabama,35-9011,2820,9.73,8.3,8.76,11.13,15.01
1,Alabama,35-9021,3360,11.36,9.69,10.39,13.8,15.67
1,Alabama,35-9031,4380,10.23,8.76,9.59,11.05,13.02
1,Alabama,37-0000,52860,13.22,9.16,10.62,16.43,20.58
1,Alabama,37-1011,2110,18.27,12.26,14.88,25.17,31.56
1,Alabama,37-1012,1940,23,15.52,18.65,27.59,33.65
1,Alabama,37-2011,25360,12.46,8.89,10.43,14.39,17.2
1,Alabama,37-2012,9530,10.74,8.87,9.84,13.31,14.74
1,Alabama,37-2021,2480,17.09,10.77,14.57,19.22,23.84
1,Alabama,37-3011,10550,14.36,10.32,12.62,17.38,20.11
1,Alabama,37-3012,**,19.75,16.37,17.62,23.59,24.75
1,Alabama,37-3013,700,20.38,15.56,17.62,22.21,24.21
1,Alabama,37-3019,50,21.51,10.69,13.83,24.35,35.21
1,Alabama,39-0000,32080,12.38,8.74,10.13,16.9,22.65
1,Alabama,39-1013,120,24.56,13.5,22.67,26.91,31.17
1,Alabama,39-1014,1340,18.21,12.99,15.5,23.09,29.41
1,Alabama,39-1022,1130,18.5,11.27,14.66,22.81,28.68
1,Alabama,39-2011,80,15.99,13.25,14.07,19.33,45.98
1,Alabama,39-2021,3310,11.6,8.85,10.1,13.75,17.55
1,Alabama,39-3019,70,10.5,9.74,9.99,10.89,19.2
1,Alabama,39-3031,850,11.16,8.69,9.19,11.59,13.86
1,Alabama,39-3091,5020,10.27,8.55,9.02,11.81,13.88
1,Alabama,39-3093,50,12.25,10.76,11.4,12.46,15.63
1,Alabama,39-4011,100,22.82,13.77,18.4,30,35.74
1,Alabama,39-4021,530,14.08,9.32,10.82,17.75,21.38
1,Alabama,39-4031,510,22.06,14.04,18.42,24.09,36.12
1,Alabama,39-5011,**,12.63,12.18,12.47,12.83,18.04
1,Alabama,39-5012,3010,13.98,9.09,10.5,21.35,28.33
1,Alabama,39-5092,750,14.19,10.01,12.64,16.61,17.48
1,Alabama,39-5093,130,11.16,9.03,10.69,11.32,12.68
1,Alabama,39-5094,590,16.51,10.5,11.35,24.18,38.09
1,Alabama,39-6011,110,12.02,9.05,10.04,15.43,19.7
1,Alabama,39-6012,150,13.92,11.97,13,15.74,19.17
